entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
Loc,GroundElevation,Flood or Windstorm - Elevation of the local ground surface at the building at this location. This field represents the elevation of the grade (local ground surface) with respect to the datum (e.g. NAVD88).,O,float,YES,-999,1.0,LocationDetails,
Loc,GroundElevationUnit,Code for the unit of measure used to express the GroundElevation,O,tinyint,YES,1,1.0,LocationDetails,
Loc,GroundEquipment,Captures whether mechanical or electrical equipment are present on the ground level of a building and impact it has on losses,O,tinyint,YES,0,1.0,LocationDetails,
Loc,InternalPartition,Interior wall partitions or chimneys made from URM,O,tinyint,YES,0,1.0,LocationDetails,
Loc,IsPrimary,Whether the location in LocGroup is the primary building in the group,O,0 or 1,YES,1,,Locations,
Loc,IsTenant,Whether property is occupied by a tenant or not,O,0 or 1,YES,0,,Locations,
Loc,Latitude,Latitude in degrees (-90.0 to +90.0),O,decimal,YES,0,,Locations,
Loc,LatticeType,Code that represents the type of web used for H-shaped steel,O,tinyint,YES,0,1.0,LocationDetails,
Loc,LocBrokerage,Brokerage amount at location level,O,float,YES,0,,Locations,Brokerage
Loc,LocCurrency,Location currency,R,char(3),NO,,,Locations,Currency
Loc,LocDed1Building,Location building deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDed2Other,Location other building deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDed3Contents,Location contents deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDed4BI,Location BI deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDed5PD,Location PD deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDed6All,Location site deductible,CR,float,YES,0,,LocationFinancials,Ded
Loc,LocDedCode1Building,Location building deductible code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedCode2Other,Location other building deductible code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedCode3Contents,Location contents deductible code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedCode4BI,Location BI Deductible Code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedCode5PD,Location PD deductible code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedCode6All,Location blanket deductible code,CR,tinyint,YES,0,,LocationFinancials,DedCode
Loc,LocDedType1Building,Location building deductible type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocDedType2Other,Location other building deductible type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocDedType3Contents,Location contents deductible type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocDedType4BI,Location BI Deductible Type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocDedType5PD,Location PD deductible type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocDedType6All,Location blanket deductible type,CR,tinyint,YES,0,,LocationFinancials,DedType
Loc,LocExpiryDate,Location expiry date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,,,Locations,
Loc,LocGrossPremium,Gross premium amount at location level,O,float,YES,0,,Locations,GrossPremium
Loc,LocGroup,Location group name,O,nvarchar(20),YES,,,Locations,
Loc,LocInceptionDate,Location inception date - in ISO 8601 format: YYYY-MM-DD,O,smalldatetime,YES,,,Locations,
Loc,LocLimit1Building,Location building limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimit2Other,Location other building limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimit3Contents,Location contents limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimit4BI,Location BI limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimit5PD,Location PD limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimit6All,Location site limit,CR,float,YES,0,,LocationFinancials,Limit
Loc,LocLimitCode1Building,Location building limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
