group,key,id,desc,column_name_regex,validation
currencies,iceland/iceland krona,ISK,iceland - iceland krona,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,india/indian rupee,INR,india - indian rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,indonesia/rupiah,IDR,indonesia - rupiah,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,international monetary fund (imf)/sdr (special drawing right),XDR,international monetary fund (imf) - sdr (special drawing right),(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,iran (islamic republic of)/iranian rial,IRR,iran (islamic republic of) - iranian rial,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,iraq/iraqi dinar,IQD,iraq - iraqi dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,ireland/euro,EUR,ireland - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,isle of man/pound sterling,GBP,isle of man - pound sterling,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,israel/new israeli sheqel,ILS,israel - new israeli sheqel,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,italy/euro,EUR,italy - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,jamaica/jamaican dollar,JMD,jamaica - jamaican dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,japan/yen,JPY,japan - yen,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,jersey/pound sterling,GBP,jersey - pound sterling,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,jordan/jordanian dinar,JOD,jordan - jordanian dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,kazakhstan/tenge,KZT,kazakhstan - tenge,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,kenya/kenyan shilling,KES,kenya - kenyan shilling,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,kiribati/australian dollar,AUD,kiribati - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,korea (the democratic peopleâ€™s republic of)/north korean won,KPW,korea (the democratic peopleâ€™s republic of) - north korean won,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,korea (the republic of)/won,KRW,korea (the republic of) - won,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,kuwait/kuwaiti dinar,KWD,kuwait - kuwaiti dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,kyrgyzstan/som,KGS,kyrgyzstan - som,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,lao peopleâ€™s democratic republic (the)/lao kip,LAK,lao peopleâ€™s democratic republic (the) - lao kip,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,latvia/euro,EUR,latvia - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,lebanon/lebanese pound,LBP,lebanon - lebanese pound,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,lesotho/loti,LSL,lesotho - loti,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,lesotho/rand,ZAR,lesotho - rand,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,liberia/liberian dollar,LRD,liberia - liberian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,libya/libyan dinar,LYD,libya - libyan dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,liechtenstein/swiss franc,CHF,liechtenstein - swiss franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,lithuania/euro,EUR,lithuania - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,luxembourg/euro,EUR,luxembourg - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,macao/pataca,MOP,macao - pataca,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,macedonia (the former yugoslav republic of)/denar,MKD,macedonia (the former yugoslav republic of) - denar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,madagascar/malagasy ariary,MGA,madagascar - malagasy ariary,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,malawi/malawi kwacha,MWK,malawi - malawi kwacha,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,malaysia/malaysian ringgit,MYR,malaysia - malaysian ringgit,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,maldives/rufiyaa,MVR,maldives - rufiyaa,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mali/cfa franc bceao,XOF,mali - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,malta/euro,EUR,malta - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,marshall islands (the)/us dollar,USD,marshall islands (the) - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,martinique/euro,EUR,martinique - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mauritania/ouguiya,MRO,mauritania - ouguiya,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mauritius/mauritius rupee,MUR,mauritius - mauritius rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mayotte/euro,EUR,mayotte - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,member countries of the african development bank group/adb unit of account,XUA,member countries of the african development bank group - adb unit of account,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mexico/mexican peso,MXN,mexico - mexican peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mexico/mexican unidad de inversion (udi),MXV,mexico - mexican unidad de inversion (udi),(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,micronesia (federated states of)/us dollar,USD,micronesia (federated states of) - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,moldova (the republic of)/moldovan leu,MDL,moldova (the republic of) - moldovan leu,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,monaco/euro,EUR,monaco - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mongolia/tugrik,MNT,mongolia - tugrik,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,montenegro/euro,EUR,montenegro - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,montserrat/east caribbean dollar,XCD,montserrat - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,morocco/moroccan dirham,MAD,morocco - moroccan dirham,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,mozambique/mozambique metical,MZN,mozambique - mozambique metical,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,myanmar/kyat,MMK,myanmar - kyat,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,namibia/namibia dollar,NAD,namibia - namibia dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,namibia/rand,ZAR,namibia - rand,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,nauru/australian dollar,AUD,nauru - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,nepal/nepalese rupee,NPR,nepal - nepalese rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,netherlands (the)/euro,EUR,netherlands (the) - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,new caledonia/cfp franc,XPF,new caledonia - cfp franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,new zealand/new zealand dollar,NZD,new zealand - new zealand dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
